Indicateur;Période;Industries Agro-alimentaires;Industrie du Tabac;Textile et Habillement et cuir;Industries mécaniques et éléctriques;Extraction de pétrole  et gaz naturel;Services financiers
Importation;1997;420,6;53,4;2 155,90;3 423,70;212,1;93,2
Importation;1998;459,9;65,6;2 530,70;3 798,60;164,2;94,9
Importation;1999;412,8;43,5;2 452,60;4 344,90;233,8;92,1
Importation;2000;442;45,3;2 623,40;4 956,30;429,1;93,6
Importation;2001;442;41,9;3 368,70;5 637,40;360,9;97,4
Importation;2002;588,7;39,4;3 187,50;5 289,50;381,8;89,4
Importation;2003;617,5;42,6;3 568,80;5 501,50;401,6;94,9
Importation;2004;792;49,5;3 564,80;6 545,20;520,9;162,8
Importation;2005;818,9;104,5;3 632,20;6 945,40;709,1;212,2
Importation;2006;899,6;72;3 723,80;8 723,20;953,3;181,2
Importation;2007;924;63;3 935,70;10 367,00;1 157,40;257,8
Importation;2008;1 354,80;69,5;3 947,50;12 065,80;1 845,40;289,2
Importation;2009;997,2;109;3 615,90;11 632,90;1 217,60;340,8
Importation;2010;1 222,00;148,2;4 063,60;14 579,80;245;368,7
Importation;2011;1 794,10;136,7;4 301,20;14 026,00;1 206,10;357,8
Importation;2012;1 825,50;144,1;4 185,80;15 310,00;3 064,10;372,5
Importation;2013;1 622,30;135,1;4 294,40;15 620,50;3 333,70;382
Importation;2014;1 667,30;167,8;4 640,80;16 687,30;3 824,60;461,9
Exportation;1997;516,1;66,1;2 974,60;857,4;424;78,7
Exportation;1998;444,4;51,4;3 324,30;1 056,70;296,1;78,5
Exportation;1999;631,2;43,2;3 369,10;1 016,00;506;84,4
Exportation;2000;489,9;37,1;3 847,10;1 344,00;838,6;113,6
Exportation;2001;489,9;50,2;4 660,70;1 760,80;690,7;107,2
Exportation;2002;437,3;37,7;4 641,80;1 979,40;737,3;115,7
Exportation;2003;585,8;45,5;4 969,50;2 245,40;656,5;119,8
Exportation;2004;1 018,50;27,4;4 914,70;2 914,40;948,3;124
Exportation;2005;979,1;74,9;5 234,10;3 392,70;1 426,60;144,6
Exportation;2006;1 425,20;53,9;5 357,60;4 185,70;1 701,40;165,5
Exportation;2007;1 257,80;40,6;6 070,60;5 301,40;2 661,40;185,1
Exportation;2008;1 540,80;56,7;5 631,80;6 595,20;3 368,30;222,4
Exportation;2009;1 320,00;51;5 563,60;5 908,10;2 057,00;181,4
Exportation;2010;1 256,00;49,5;5 846,10;8 636,80;2 658,40;213,1
Exportation;2011;1 899,90;52,7;6 268,90;9 733,60;2 910,30;210,7
Exportation;2012;1 942,80;60;5 921,20;9 609,20;3 390,00;248,4
Exportation;2013;2 034,90;55,3;6 168,70;10 794,00;2 900,00;256,7
Exportation;2014;1 565,30;47,8;6 451,90;11 676,00;2 699,00;280,6
